职位名称,公司名称,所在城市,经验要求,公司福利,发布时间,公司规模,业务范围,公司类型,详情页面
Linux应用开发工程师,浙江水晶光电科技股份有限公司,杭州-余杭区,2年经验,五险一金 通讯补贴 餐饮补贴 定期体检 交通补贴 绩效奖金 年终奖金 节日福利,08-16,5000-10000人,电子技术/半导体/集成电路,上市公司,https://jobs.51job.com/chengdu-jnq/135534799.html
C++中级工程师,中科创达软件股份有限公司,上海,3-4年经验,五险一金 补充公积金 餐饮补贴 交通补贴 弹性工作 绩效奖金,08-16,10000人以上,通信/电信/网络设备,上市公司,https://jobs.51job.com/chengdu-jnq/140744990.html
Principal Software Engineer Factory Automation,安世半导体（中国）有限公司,东莞,3-4年经验,五险一金 绩效奖金 年终奖金 年终绩效奖 年终双薪,08-16,10000人以上,电子技术/半导体/集成电路,外资（欧美）,https://jobs.51job.com/chengdu-jnq/137267183.html
软件工程师（嵌入式软件）,麒盛科技股份有限公司,嘉兴-秀洲区,3-4年经验,五险一金 包吃 包住宿 免费班车 绩效奖金 节日福利 交通补贴 通讯补贴 专业培训,08-16,1000-5000人,家具/家电/玩具/礼品,上市公司,https://jobs.51job.com/chengdu-jnq/131446749.html
大数据工程师（武汉）10000-20000/月薪,武汉天喻教育科技有限公司,武汉,2年经验,五险一金 餐饮补贴 专业培训 绩效奖金 定期体检 通讯补贴 交通补贴 年终奖金 免费班车,08-16,500-1000人,计算机软件,民营公司,https://jobs.51job.com/chengdu-jnq/128896070.html
软件开发工程师,苏州固锝电子股份有限公司,苏州-高新区,1年经验,五险一金 节日福利 周末双休,08-15,1000-5000人,电子技术/半导体/集成电路,上市公司,https://jobs.51job.com/chengdu-jnq/117371651.html
嵌入式开发工程师,中电鸿信信息科技有限公司,南京-浦口区,3-4年经验,五险一金 餐饮补贴 通讯补贴 绩效奖金 年终奖金 定期体检,08-15,500-1000人,计算机软件,国企,https://jobs.51job.com/chengdu-jnq/141215942.html
大数据应用开发工程师,福建省晋华集成电路有限公司,泉州,1年经验,年底双薪 带薪年假 交通补助 午餐补助 免费班车 岗位晋升 五险一金,08-15,1000-5000人,电子技术/半导体/集成电路,国企,https://jobs.51job.com/chengdu-jnq/136748932.html
项目经理（软件产品）,埃夫特智能装备股份有限公司,上海-松江区,5-7年经验,五险一金 补充医疗保险 免费班车 员工旅游 餐饮补贴 年终奖金 绩效奖金 弹性工作 定期体检,08-15,1000-5000人,仪器仪表/工业自动化,上市公司,https://jobs.51job.com/chengdu-jnq/139768270.html
计算机类—软件开发工程师,旭硕科技（重庆）有限公司,重庆,无需经验,五险一金 餐饮补贴 专业培训 年终奖金 岗位晋升 出差补贴,08-15,5000-10000人,计算机硬件,外资（非欧美）,https://jobs.51job.com/chengdu-jnq/76358804.html
高级开发工程师,艾利（广州）包装系统产品有限公司,广州,3-4年经验,五险一金 住房补贴 年终奖金 免费班车 员工旅游 绩效奖金 商业保险 包餐 节日津贴 企业年金,08-15,1000-5000人,印刷/包装/造纸,外资（欧美）,https://jobs.51job.com/chengdu-jnq/139160521.html
BIOS开发工程师,立讯精密工业股份有限公司,上海-浦东新区,5-7年经验,五险一金 专业培训 弹性工作 定期体检,08-15,10000人以上,电子技术/半导体/集成电路,上市公司,https://jobs.51job.com/chengdu-jnq/140680287.html
高级SAS程序员,南京华威医药科技集团有限公司,南京,3-4年经验,五险一金 免费班车 交通补贴 通讯补贴 专业培训 年终奖金,08-15,500-1000人,制药/生物工程,上市公司,https://jobs.51job.com/chengdu-jnq/140386237.html
云计算开发工程师,南京富士通南大软件技术有限公司,南京,2年经验,绩效奖金 年终奖金 弹性工作 定期体检 五险一金 专业培训 餐饮补贴 员工旅游 子女福利,08-15,1000-5000人,计算机软件,合资,https://jobs.51job.com/chengdu-jnq/124365264.html
Web开发工程师,芯发威达电子（上海）有限公司,上海-闵行区,1年经验,绩效奖金,08-15,1000-5000人,计算机硬件,外资（非欧美）,https://jobs.51job.com/chengdu-jnq/65604841.html
大数据开发工程师,广东南方数码科技股份有限公司,武汉-武昌区,2年经验,五险一金 定期体检 专业培训 绩效奖金 弹性工作 餐饮补贴 年终奖金,08-15,500-1000人,计算机软件,民营公司,https://jobs.51job.com/chengdu-jnq/140319762.html
Node.js后端开发工程师,英业达科技有限公司,上海-闵行区,3-4年经验,五险一金 包吃住 标准加班费 免费班车 年度最佳雇主 带薪年假 公司规模大 节日福利 技能培训 健身俱乐部,08-15,10000人以上,通信/电信/网络设备,外资（非欧美）,https://jobs.51job.com/chengdu-jnq/139694111.html
应用工程师,深兰科技（上海）有限公司,深圳-龙华区,3-4年经验,五险一金 专业培训 绩效奖金,08-15,1000-5000人,计算机硬件,民营公司,https://jobs.51job.com/chengdu-jnq/140536579.html
人工智能专家,道富信息科技（浙江）有限公司,杭州,3-4年经验,五险一金 补充医疗保险 免费班车 交通补贴 餐饮补贴 通讯补贴 专业培训 弹性工作 年终奖金,08-15,1000-5000人,金融/投资/证券,外资（欧美）,https://jobs.51job.com/chengdu-jnq/137371503.html
Java开发工程师,大博医疗科技股份有限公司,厦门,无需经验,五险一金 免费班车 餐饮补贴 绩效奖金 年终奖金 定期体检,08-15,1000-5000人,医疗设备/器械,合资,https://jobs.51job.com/chengdu-jnq/134664276.html
大数据工程师,吉贝克信息技术（北京）有限公司,北京,2年经验,,08-15,500-1000人,计算机软件,外资（欧美）,https://jobs.51job.com/chengdu-jnq/75004452.html
软件下载工程师 （需长期出差）,仁宝电脑（成都）有限公司,成都,3-4年经验,五险一金 员工旅游 餐饮补贴 专业培训 年终奖金 定期体检 绩效奖金 500强平台 职员公寓 福利好,08-15,10000人以上,电子技术/半导体/集成电路,外资（非欧美）,https://jobs.51job.com/chengdu-jnq/141486850.html
大数据架构师4628,健合（中国）有限公司,广州-黄埔区,5-7年经验,五险一金 补充医疗保险 员工旅游 出国机会 弹性工作 绩效奖金 年终奖金,08-15,1000-5000人,快速消费品(食品、饮料、化妆品),外资（非欧美）,https://jobs.51job.com/chengdu-jnq/141084789.html
数据开发工程师/IT(J10168),绍兴中芯集成电路制造股份有限公司,浙江省,2年经验,五险一金 免费班车 餐饮补贴 专业培训 绩效奖金 定期体检 商业保险 包住宿 加班补贴 全勤奖,08-15,1000-5000人,电子技术/半导体/集成电路,合资,https://jobs.51job.com/chengdu-jnq/140952554.html
云技术工程师,中冶赛迪信息技术（重庆）有限公司,重庆,3-4年经验,五险一金 员工旅游 餐饮补贴 定期体检 年终奖金 绩效奖金 央企福利 互联网氛围,08-15,500-1000人,计算机软件,国企,https://jobs.51job.com/chengdu-jnq/137206947.html
数据架构师,绝味食品股份有限公司,长沙,3-4年经验,带薪年假 五险一金 包吃 节日福利 交通补贴 定期体检 做五休二,08-15,1000-5000人,快速消费品(食品、饮料、化妆品),上市公司,https://jobs.51job.com/chengdu-jnq/135292002.html
大数据AI工程师(数据挖掘)KF22015,华数传媒网络有限公司,杭州-滨江区,5-7年经验,五险一金 补充医疗保险 免费班车 专业培训 弹性工作 定期体检 餐饮补贴 员工旅游 绩效奖金 年终奖金,08-14,1000-5000人,通信/电信运营、增值服务,国企,https://jobs.51job.com/chengdu-jnq/140401777.html
后端开发程序员[Ubisoft Connect] Backend Programmer,上海育碧电脑软件有限公司,上海,3-4年经验,五险一金 餐饮补贴 弹性工作 补充医疗保险 专业培训,08-14,500-1000人,计算机软件,外资（欧美）,https://jobs.51job.com/chengdu-jnq/139969966.html
漏洞分析工程师(J11103),山石网科通信技术股份有限公司,苏州-虎丘区,5-7年经验,五险一金 专业培训 绩效奖金 年终奖金 弹性工作 季度奖金 带薪年假 节日福利 岗位晋升 补充医疗保险,08-13,1000-5000人,通信/电信/网络设备,合资,https://jobs.51job.com/chengdu-jnq/140162371.html
大数据风控模型开发岗,上海华瑞银行股份有限公司,上海-浦东新区,3-4年经验,高温补贴 交通补贴 通讯补贴 专业培训 节日福利 绩效奖金 带薪年假 弹性工作,08-13,150-500人,银行,民营公司,https://jobs.51job.com/chengdu-jnq/123592675.html
软件开发工程师,苏州通富超威半导体有限公司,苏州,3-4年经验,五险一金 补充医疗保险 员工旅游 交通补贴 绩效奖金 年终奖金 定期体检 专业培训,08-12,1000-5000人,电子技术/半导体/集成电路,外资（欧美）,https://jobs.51job.com/chengdu-jnq/134226116.html
系统平台开发工程师,宁德时代新能源科技股份有限公司,宁德,2年经验,五险一金 带薪年假 年终奖金 免费班车 专业培训 定期体检,08-12,10000人以上,新能源,民营公司,https://jobs.51job.com/chengdu-jnq/138212909.html
大数据开发工程师,广东德生科技股份有限公司,广州-天河区,3-4年经验,五险一金 免费班车 员工旅游 交通补贴 年终奖金 绩效奖金 定期体检,08-12,1000-5000人,计算机软件,上市公司,https://jobs.51job.com/chengdu-jnq/109284223.html
嵌入式软件工程师（芯片系统验证）,芯原微电子（上海）股份有限公司,上海-浦东新区,1年经验,五险一金 股票期权 定期体检 弹性工作 交通补贴 餐饮补贴,08-12,1000-5000人,电子技术/半导体/集成电路,上市公司,https://jobs.51job.com/chengdu-jnq/134637726.html
C/C++开发工程师,武汉中旗生物医疗电子有限公司,武汉-洪山区,3-4年经验,节日福利 周末双休 年终奖金 五险一金 餐饮补贴 绩效奖金 定期体检,08-12,150-500人,医疗设备/器械,民营公司,https://jobs.51job.com/chengdu-jnq/141649818.html
量化技术开发岗——软件方向（量化交易部）,国泰君安期货有限公司,上海,2年经验,五险一金 交通补贴 餐饮补贴 通讯补贴 年终奖金 带薪年假 住房补贴 体检,08-12,1000-5000人,金融/投资/证券,国企,https://jobs.51job.com/chengdu-jnq/127917660.html
系统芯片软件工程师,芯原微电子（成都）有限公司,成都-高新区,无需经验,五险一金 补充医疗保险 交通补贴 餐饮补贴 专业培训 年终奖金 股票期权 弹性工作 定期体检,08-11,500-1000人,电子技术/半导体/集成电路,外资（欧美）,https://jobs.51job.com/chengdu-jnq/140372991.html
开发经理（大数据）,中国移动通信集团设计院有限公司,重庆,3-4年经验,,08-11,1000-5000人,通信/电信运营、增值服务,国企,https://jobs.51job.com/chengdu-jnq/141148309.html
软件交付工程师,南京中新赛克科技有限责任公司,长春-绿园区,2年经验,五险一金 交通补贴 餐饮补贴 绩效奖金 年终奖金 定期体检 员工旅游 周末双休 年休假 调休假,08-11,1000-5000人,通信/电信/网络设备,上市公司,https://jobs.51job.com/chengdu-jnq/141580363.html
CAM 脚本开发工程师,安捷利（番禺）电子实业有限公司,广州-南沙区,2年经验,五险一金 绩效奖金 专业培训 周末双休 弹性工作 带薪年假 包三餐 包住宿 全勤奖 节日福利,08-11,1000-5000人,电子技术/半导体/集成电路,外资（非欧美）,https://jobs.51job.com/chengdu-jnq/139181733.html
资深云计算工程师(J13631),上海龙旗科技股份有限公司,上海-徐汇区,5-7年经验,,08-10,1000-5000人,通信/电信运营、增值服务,民营公司,https://jobs.51job.com/chengdu-jnq/140142136.html
嵌入式软件工程师-MCUG00183,江苏云意电气股份有限公司,徐州-铜山区,1年经验,五险一金 年终奖金 带薪年假 绩效奖金 全勤奖 节日福利 包住宿 包吃,08-10,1000-5000人,汽车,民营公司,https://jobs.51job.com/chengdu-jnq/134080310.html
Senior Software Developer,苏州金唯智生物科技有限公司,苏州-工业园区,2年经验,五险一金 年底双薪 带薪年假 弹性工作 定期体检 员工旅游 绩效奖金,08-10,1000-5000人,制药/生物工程,外资（欧美）,https://jobs.51job.com/chengdu-jnq/137264208.html
软件工程师,阳普医疗科技股份有限公司,广州,3-4年经验,专业培训 五险一金 免费班车 员工食堂,08-10,500-1000人,医疗设备/器械,上市公司,https://jobs.51job.com/chengdu-jnq/141349266.html
软件开发工程师（持续集成方向）,上海微电子装备（集团）股份有限公司,上海-浦东新区,2年经验,五险一金 补充医疗保险 交通补贴 餐饮补贴 绩效奖金 定期体检 年终奖金,08-10,1000-5000人,电子技术/半导体/集成电路,合资,https://jobs.51job.com/chengdu-jnq/106983945.html
信息安全渗透攻防工程师,国核自仪系统工程有限公司,上海-闵行区,2年经验,,08-09,150-500人,仪器仪表/工业自动化,国企,https://jobs.51job.com/chengdu-jnq/122121052.html
嵌入式软件工程师(FPGA原型验证方向),乐鑫信息科技（上海）股份有限公司,上海-浦东新区,3-4年经验,五险一金 补充公积金 员工旅游 餐饮补贴 专业培训 绩效奖金 年终奖金 弹性工作 定期体检,08-09,500-1000人,电子技术/半导体/集成电路,上市公司,https://jobs.51job.com/chengdu-jnq/135783335.html
研发中心经理（渠道方向）,南洋商业银行（中国）有限公司,上海-浦东新区,2年经验,带薪年假 补充医疗保险 补充公积金 年终奖金,08-08,1000-5000人,银行,外资（非欧美）,https://jobs.51job.com/chengdu-jnq/140096585.html
软件工程师 （1）,浙江双环传动机械股份有限公司,嘉兴,1年经验,,08-08,5000-10000人,机械/设备/重工,上市公司,https://jobs.51job.com/chengdu-jnq/139111635.html
研发专家/架构师-广州,广州地铁设计研究院股份有限公司,广州,8-9年经验,五险一金 餐饮补贴 专业培训 定期体检 年终奖金 绩效奖金,08-07,1000-5000人,建筑/建材/工程,国企,https://jobs.51job.com/chengdu-jnq/139570929.html
Hadoop大数据开发工程师,上海电科智能系统股份有限公司,上海-普陀区,1年经验,五险一金 补充公积金 年终奖金 绩效奖金 餐饮补贴,08-06,500-1000人,多元化业务集团公司,国企,https://jobs.51job.com/chengdu-jnq/140742156.html
全栈工程师,云南南天电子信息产业股份有限公司,昆明,3-4年经验,周末双休 带薪年假 五险一金 专业培训 绩效奖金 定期体检 年终奖金,08-05,500-1000人,计算机软件,上市公司,https://jobs.51job.com/chengdu-jnq/137645408.html
配网技术中心-全栈工程师,平高集团有限公司,平顶山,5-7年经验,五险二金 免费班车 餐饮补贴 专业培训 绩效奖金 年终奖金 定期体检,08-05,5000-10000人,电气/电力/水利,国企,https://jobs.51job.com/chengdu-jnq/138346321.html
Java开发工程师,广东华讯工程有限公司,海口,3-4年经验,五险一金 带薪年假 通讯补贴 定期体检,08-05,1000-5000人,通信/电信运营、增值服务,民营公司,https://jobs.51job.com/chengdu-jnq/141332947.html
职位名称,公司名称,所在城市,经验要求,公司福利,发布时间,公司规模,业务范围,公司类型,详情页面
职位名称,公司名称,所在城市,经验要求,公司福利,发布时间,公司规模,业务范围,公司类型,详情页面
职位名称,公司名称,所在城市,经验要求,公司福利,发布时间,公司规模,业务范围,公司类型,详情页面
软件开发,湖南云箭集团有限公司,长沙,3-4年经验,五险一金 交通补贴 餐饮补贴 专业培训 绩效奖金 人才津贴 人才住房 高温补贴 带薪假期 员工体检,07-10,1000-5000人,机械/设备/重工,国企,https://jobs.51job.com/chengdu-jnq/139481073.html
数据开发工程师,广西叫酒网络科技有限公司,南宁-江南区,3-4年经验,包吃 节日福利 五险 员工培训 绩效奖金 年终奖金,07-06,500-1000人,快速消费品(食品、饮料、化妆品),民营公司,https://jobs.51job.com/chengdu-jnq/138854655.html
SAP ABAP开发工程师,英华达（上海）科技有限公司,上海-闵行区,1年经验,绩效奖金 定期体检 免费班车 员工旅游 年终奖金,07-06,1000-5000人,电子技术/半导体/集成电路,外资（非欧美）,https://jobs.51job.com/chengdu-jnq/106708000.html
RPA开发工程师(J10730),四川长虹佳华信息产品有限责任公司,北京-丰台区,3-4年经验,五险一金 专业培训 绩效奖金 年终奖金 定期体检,07-04,1000-5000人,计算机硬件,国企,https://jobs.51job.com/chengdu-jnq/140725665.html
.NET开发工程师,日月新半导体（苏州）有限公司,苏州-工业园区,2年经验,五险一金 员工旅游 交通补贴 绩效奖金 年终奖金 定期体检,07-04,1000-5000人,电子技术/半导体/集成电路,合资,https://jobs.51job.com/chengdu-jnq/135940041.html
大数据开发工程师,上海达美乐比萨有限公司,上海-徐汇区,5-7年经验,做五休二 五险一金 带薪年假 节日福利 专业培训 补充医疗保险 通讯补贴 年终奖金 弹性工作 定期体检,06-30,1000-5000人,餐饮业,外资（欧美）,https://jobs.51job.com/chengdu-jnq/137824137.html
终检线软件工程师-上海,上汽通用汽车有限公司,上海,2年经验,五险一金 补充医疗保险 免费班车 交通补贴 餐饮补贴 年终奖金 绩效奖金 定期体检 全年17薪+,06-28,500-1000人,汽车,合资,https://jobs.51job.com/chengdu-jnq/137083772.html
JAVA开发工程师（技术中台）(J11023),东吴证券股份有限公司,苏州-工业园区,3-4年经验,五险一金 专业培训 定期体检,06-26,1000-5000人,金融/投资/证券,国企,https://jobs.51job.com/chengdu-jnq/138943749.html
后端开发工程师,东方日升新能源股份有限公司,杭州-滨江区,3-4年经验,五险一金 专业培训 周末双休 节日福利 绩效奖金 员工旅游 定期体检 餐饮补贴,06-24,1000-5000人,新能源,上市公司,https://jobs.51job.com/chengdu-jnq/139357796.html
软件工程师(J10599),江苏四季沐歌有限公司,连云港,2年经验,五险一金 免费班车 交通补贴 餐饮补贴 通讯补贴 年终奖金,06-23,1000-5000人,家具/家电/玩具/礼品,上市公司,https://jobs.51job.com/chengdu-jnq/137586787.html
项目经理,北京恒泰实达科技股份有限公司,北京-海淀区,2年经验,五险一金 定期体检 绩效奖金,06-22,1000-5000人,计算机软件,上市公司,https://jobs.51job.com/chengdu-jnq/131228836.html
java研发工程师（初/中/高级）,港中旅华贸国际物流股份有限公司,上海-黄浦区,3-4年经验,五险一金 交通补贴 餐饮补贴 绩效奖金 年终奖金 补充医疗保险 补充公积金 定期体检,06-22,1000-5000人,交通/运输/物流,上市公司,https://jobs.51job.com/chengdu-jnq/128854688.html
软件工程师,云舟生物科技（广州）股份有限公司,广州-黄埔区,1年经验,五险一金 免费班车 员工旅游 餐饮补贴 专业培训 绩效奖金 年终奖金 定期体检,08-22,500-1000人,制药/生物工程,外资（欧美）,https://jobs.51job.com/chengdu-jnq/141609332.html
医疗软件技术工程师,江苏吉诺思美精准医学科技有限公司,南京,1年经验,五险一金 员工旅游 交通补贴 餐饮补贴 通讯补贴 专业培训 绩效奖金 定期体检,08-22,150-500人,制药/生物工程,民营公司,https://jobs.51job.com/chengdu-jnq/130612399.html
大数据开发工程师,北京先进数通信息技术股份公司,南宁,3-4年经验,五险一金 餐饮补贴 定期体检 年终奖金,08-22,1000-5000人,计算机软件,上市公司,https://jobs.51job.com/chengdu-jnq/131653312.html
嵌入式软件高级工程师（Linux）,上海深自科技有限公司,上海-普陀区,2年经验,五险一金 定期体检 餐饮补贴 通讯补贴 绩效奖金 年终奖金 专业培训 员工旅游,08-22,少于50人,计算机软件,民营公司,https://jobs.51job.com/chengdu-jnq/132487028.html
大数据开发工程师,合肥聚鼎信息咨询有限公司,深圳,1年经验,补充医疗保险 员工旅游 交通补贴 餐饮补贴 通讯补贴 弹性工作 定期体检 年终奖金 六险一金 10天带薪年假,08-22,500-1000人,专业服务(咨询、人力资源、财会),合资,https://jobs.51job.com/chengdu-jnq/141237510.html
软件工程师,武汉海洋仪器有限公司,武汉-东湖新技术产业开发区,1年经验,五险一金 绩效奖金 年终奖金 专业培训,08-22,少于50人,仪器仪表/工业自动化,民营公司,https://jobs.51job.com/chengdu-jnq/126728649.html
软件开发工程师,深圳乐客企业咨询有限公司,深圳-福田区,2年经验,,08-22,50-150人,贸易/进出口,民营公司,https://jobs.51job.com/chengdu-jnq/135717152.html
Product Applications Engineer（北京）,唯亚威通讯技术（北京）有限公司,北京,8-9年经验,五险一金 补充医疗保险 餐饮补贴 交通补贴 年终奖金 定期体检 专业培训,08-22,500-1000人,通信/电信/网络设备,外资（欧美）,https://jobs.51job.com/chengdu-jnq/141173805.html
嵌入式软件工程师,上海昊博影像科技有限公司,上海-闵行区,3-4年经验,五险一金 免费班车 年终奖金 定期体检 员工旅游,08-22,少于50人,医疗设备/器械,民营公司,https://jobs.51job.com/chengdu-jnq/140377011.html
初级研发工程师(后端),通明智云（北京）科技有限公司,北京-大兴区,2年经验,五险一金 补充医疗保险 交通补贴 餐饮补贴 通讯补贴 年终奖金 绩效奖金,08-22,50-150人,计算机软件,民营公司,https://jobs.51job.com/chengdu-jnq/137178447.html
大数据开发工程师,快乐蜂（中国）餐饮管理有限公司,上海-闵行区,3-4年经验,五险一金 员工旅游 通讯补贴 年终奖金 定期体检 周末双休 专业培训,08-22,10000人以上,餐饮业,外资（非欧美）,https://jobs.51job.com/chengdu-jnq/138587753.html
嵌入式Linux软件开发工程师,上海宏英智能科技股份有限公司,上海,2年经验,带薪年假 五险一金 餐饮补贴 包吃 专业培训 周末双休,08-22,150-500人,仪器仪表/工业自动化,民营公司,https://jobs.51job.com/chengdu-jnq/136154963.html
信息化专员,昆明银海物业服务有限公司,昆明,2年经验,五险一金 餐饮补贴 绩效奖金 年终奖金 定期体检 专业培训,08-22,1000-5000人,物业管理/商业中心,民营公司,https://jobs.51job.com/chengdu-jnq/135105826.html
后端工程师,珠海达酷互动科技有限公司,珠海-香洲区,5-7年经验,五险一金 员工旅游 年终奖金 绩效奖金 弹性工作 定期体检 股票期权 零食下午茶 周末双休,08-22,少于50人,互联网/电子商务,创业公司,https://jobs.51job.com/chengdu-jnq/139979510.html
Linux开发工程师,钧捷智能（深圳）有限公司,深圳-宝安区,3-4年经验,五险一金 周五下午茶 周四球类活动 员工生日会 户外团建活动 9:30上班,08-22,150-500人,计算机软件,民营公司,https://jobs.51job.com/chengdu-jnq/129926330.html
软件工程师,深圳市智能机器人研究院,嘉兴-秀洲区,1年经验,,08-22,50-150人,学术/科研,事业单位,https://jobs.51job.com/chengdu-jnq/130080093.html
后端工程师,上海邦芯物联网科技有限公司,上海-松江区,2年经验,五险一金 年终奖金 周末双休 股权激励,08-22,150-500人,通信/电信/网络设备,民营公司,https://jobs.51job.com/chengdu-jnq/140541008.html
3D检测软件工程师,合肥图迅电子科技有限公司,合肥-高新区,2年经验,五险一金 员工旅游 餐饮补贴 通讯补贴 绩效奖金 年终奖金 定期体检 节日津贴 带薪年假 带薪病假,08-22,50-150人,电子技术/半导体/集成电路,民营公司,https://jobs.51job.com/chengdu-jnq/141806687.html
系统开发工程师,杭州易景数通科技有限公司,杭州-滨江区,2年经验,五险一金 绩效奖金 交通补贴 节日福利 餐饮补贴 做五休二,08-22,150-500人,计算机软件,民营公司,https://jobs.51job.com/chengdu-jnq/138164000.html
软件工程师,景略半导体（上海）有限公司,上海-浦东新区,3-4年经验,五险一金 餐饮补贴 弹性工作 定期体检,08-22,150-500人,电子技术/半导体/集成电路,外资（欧美）,https://jobs.51job.com/chengdu-jnq/133548331.html
嵌入式软件工程师,南京金阵微电子技术有限公司,南京,2年经验,五险一金 餐饮补贴 弹性工作 定期体检,08-22,少于50人,电子技术/半导体/集成电路,外资（欧美）,https://jobs.51job.com/chengdu-jnq/123130644.html
Linux 后端开发,上德（深圳）数据科技有限公司,深圳-光明区,1年经验,做五休二 周末双休 带薪年假 五险一金 绩效奖金 节日福利,08-22,50-150人,计算机服务(系统、数据服务、维修),民营公司,https://jobs.51job.com/chengdu-jnq/138081066.html
大数据开发工程师（五险一金+双休）软件开发工程师,云南联横利众科技有限公司,昆明-五华区,3-4年经验,五险一金 员工旅游 交通补贴 餐饮补贴 通讯补贴 专业培训 年终奖金 绩效奖金,08-22,少于50人,计算机服务(系统、数据服务、维修),民营公司,https://jobs.51job.com/chengdu-jnq/119443974.html
科技辅助中级岗（辅助开发）,上海外服杰浦企业管理有限公司,合肥-滨湖新区,2年经验,五险一金 专业培训 带薪年假 周末双休 节日福利 免费班车 加班补贴,08-22,5000-10000人,金融/投资/证券,国企,https://jobs.51job.com/chengdu-jnq/118217600.html
Linux系统工程师,湖南博匠信息科技有限公司,长沙-岳麓区,1年经验,五险一金 交通补贴 餐饮补贴 通讯补贴 年终奖金 股票期权 全勤奖 周末双休,08-22,50-150人,电子技术/半导体/集成电路,民营公司,https://jobs.51job.com/chengdu-jnq/140710175.html
DevOps高级工程师,SGS通标标准技术服务有限公司深圳分公司,深圳,3-4年经验,补充公积金 员工旅游 餐饮补贴 免费班车 专业培训 年终奖金 定期体检 高温补贴 节日福利,08-22,1000-5000人,检测，认证,合资,https://jobs.51job.com/chengdu-jnq/141112276.html
GIS研发工程师,速度时空信息科技股份有限公司,中山,3-4年经验,五险一金 年终奖金 双休 法定假日,08-22,1000-5000人,计算机服务(系统、数据服务、维修),民营公司,https://jobs.51job.com/chengdu-jnq/141856631.html
RPA中级开发人员,深圳万科祥盈管理服务有限公司上海分公司,上海,3-4年经验,,08-22,,计算机软件,外资（欧美）,https://jobs.51job.com/chengdu-jnq/141856563.html
嵌入式Linux软件开发工程师,南京艾伯瑞电子科技有限公司,南京-江宁区,3-4年经验,周末双休 五险一金 节日福利 带薪年假 餐饮补贴 年终奖金,08-22,50-150人,计算机软件,民营公司,https://jobs.51job.com/chengdu-jnq/141856506.html
软件研发工程师,清华珠三角研究院,广州-黄埔区,无需经验,五险一金 绩效奖金 年终奖金,08-22,50-150人,学术/科研,事业单位,https://jobs.51job.com/chengdu-jnq/141855918.html
病毒组学生物信息副研究员(J20764),深圳华大生命科学研究院,深圳-大鹏新区,无需经验,五险一金 年终奖金 弹性工作 专业培训 员工旅游 定期体检 餐饮补贴 出国机会,08-22,500-1000人,非营利组织,民营公司,https://jobs.51job.com/chengdu-jnq/141854954.html
主任级软件工程师 - NFV,凯易讯网络技术开发（南京）有限公司,南京,10年以上经验,弹性工作 五险一金 补充医疗保险 年终奖金 绩效奖金 工作有挑战 团队氛围融洽 交通补贴 餐饮补贴 通讯补贴,08-22,150-500人,通信/电信/网络设备,外资（欧美）,https://jobs.51job.com/chengdu-jnq/141854117.html
软件开发工程师,上海岩易科技有限公司,上海-浦东新区,3-4年经验,五险一金 员工旅游 餐饮补贴 绩效奖金 年终奖金 股票期权 定期体检,08-22,50-150人,建筑/建材/工程,民营公司,https://jobs.51job.com/chengdu-jnq/141854018.html
IT软件工程师( 自动化 / AI / RPA),达亮电子（滁州）有限公司,滁州,2年经验,五险一金 员工旅游 绩效奖金 年终奖金 定期体检 专业培训,08-22,1000-5000人,电子技术/半导体/集成电路,外资（非欧美）,https://jobs.51job.com/chengdu-jnq/139284755.html
C++开发工程师（跨平台）,深圳市睿达科技有限公司,深圳-南山区,2年经验,定期团建 定期培训 全勤奖 全年13薪 年终奖 带薪年假 节日生日福利 月度个人奖励 月度部门奖励 五险一金,08-22,50-150人,仪器仪表/工业自动化,民营公司,https://jobs.51job.com/chengdu-jnq/138222562.html
C++开发工程师,励元科技（上海）有限公司,上海-浦东新区,2年经验,五险一金 员工旅游 通讯补贴 专业培训 绩效奖金 年终奖金 弹性工作 定期体检,08-22,150-500人,计算机软件,民营公司,https://jobs.51job.com/chengdu-jnq/137251763.html
软件开发工程师（嘉善上班）,嘉兴无境创新科技有限公司,嘉兴-嘉善县,3-4年经验,专业培训 定期体检 弹性工作 年终奖金 绩效奖金 五险,08-22,少于50人,新能源,民营公司,https://jobs.51job.com/chengdu-jnq/136981666.html
后端开发（区块链方向）,中能锐赫科技（北京）股份有限公司,北京-海淀区,2年经验,五险一金 年终奖金 弹性工作 工作居住证,08-22,少于50人,计算机软件,民营公司,https://jobs.51job.com/chengdu-jnq/136185099.html
服务器开发工程师,上海灵刃网络科技有限公司,上海-徐汇区,2年经验,五险一金 员工旅游,08-22,150-500人,互联网/电子商务,民营公司,https://jobs.51job.com/chengdu-jnq/131542536.html
软件工程师-软件开发,得一微电子股份有限公司,合肥-高新区,无需经验,五险一金 绩效奖金 弹性工作 补充医疗保险 定期体检 员工旅游 年终奖金 周末双休 节日福利 下午茶,08-22,150-500人,电子技术/半导体/集成电路,民营公司,https://jobs.51job.com/chengdu-jnq/121862377.html
后端开发-技术文员/助理,深圳市博瑞纳电子商务有限公司,深圳-南山区,无需经验,五险一金 免费班车 员工旅游 定期体检 绩效奖金 年终奖金 弹性工作,08-22,少于50人,计算机软件,民营公司,https://jobs.51job.com/chengdu-jnq/141851892.html
